BOARD 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.02.2025 GÜNDÜZ,,,,,,,,,24.02.2025 GECE,,,,,,,,,,,,,,,,,,,,,
,,,C/D,,EAST,,SPV,,,MAÇ ÖZEL,,C/D,,EAST,,SPV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:00-10:40,,DE,,RI,,GP,,,19:00-20:00,,AN,,AK,,AL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:40-12:20,,BI,,AI,,AN,,,20:00-22:00,,BE,,DE,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:20-14:00,,AK,,MI,,BS,,,22:00-24:00,,RI,,BS/BI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00-15:20,,RI,,AL,,GP,,,00:00-03:00,,AK,,AN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:20-16:40,,AN,,DE,,BI,,,03:00-05:30,,MI,,AI,,07:00-09:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:40-17:50,,AL,,AK,,AI,,,05:30-08:00,,AL,,BE,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:50-19:00,,MI,,BS,,GP,,,08:00-09:00,,DE,,RI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,İZİN,,YT,BE,BL,,,,,İZİN,,YT,BL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28.02.2025 GÜNDÜZ,,,,,,,,,01.03.2025 GECE,,,,,,,,,,,,,,,,,,,,,
,,,C/D,,EAST,,SPV,,,,,C/D,,EAST,,SPV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:00-10:40,,BS/BI,,RI,,GP,,,18:00-20:00,,BS/BI,,RI,,DE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:40-12:20,,YT,,BE,,AI,,,20:00-22:00,,BE,,MI,,AK,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:20-14:00,,MI,,DE,,AN,,,22:00-24:00,,BL,,AL,,YT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00-15:20,,AK,,AL,,RI,,,00:00-03:00,,AN,,DE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:20-16:40,,AI,,BS/BI,,GP,,,03:00-05:30,,GP,,AI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:40-17:50,,AL,,YT,,BE,,,05:30-08:00,,AK,,BS/BI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:50-19:00,,AN,,AK,,DE,,,08:00-09:00,,AL,,BL,,BE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,İZİN,,BL,,DE-AN-AK-MI EĞİTİM,,,,,İZİN,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,05.03.2025 GÜNDÜZ REVİZE,,,,,,,,,06.03.2025 GECE,,,,,,,,,,,,,,,,,,,,,
,,,C/D,,EAST,,SPV,,,,,C/D,,EAST,,SPV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:00-10:40,,AN,,BS/BI,,RI,,,18:00-20:00,,DE,,RI,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:40-12:20,,AI,,AK,,AL,,,20:00-22:00,,BS/BI,,MI,,AL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:20-14:00,,BL,,DE,,MI,,,22:00-24:00,,AI,,YT,,AK,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00-15:20,,BS/BI,,RI,,GP,,,00:00-03:00,,RI,,BE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
